Bill Number,Year,Subfields,Failure Reason/ or Passed,Stalled in Committee? (1 Yes/0 No),Chamber,Sponsor Party,Bipartisan?,Introduced Month,# of Sponsors,Link
H.R. 4223,2023,Push for AI Research; AI in Government,Stalled in Committee (House),1,House,Democrat,TRUE,June,11,https://www.congress.gov/bill/118th-congress/house-bill/4223
S. 1564,2023,AI in Government; Policy Advisory,Senate Calendar Inaction,0,Senate,Democrat,TRUE,May,2,https://www.congress.gov/bill/118th-congress/senate-bill/1564
S. 1596,2023,Push for AI Research; Job Security,Stalled in Committee (Senate),1,Senate,Democrat,FALSE,May,4,https://www.congress.gov/bill/118th-congress/senate-bill/1596
H.R. 3044,2023,Deepfake; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,May,1,https://www.congress.gov/bill/118th-congress/house-bill/3044
H.R. 7694,2023,Job Security; Policy Advisory,Stalled in Committee (House),1,House,Republican,FALSE,March,2,https://www.congress.gov/bill/118th-congress/house-bill/7694
H.R. 1718,2023,Deepfake; General Ethical Usage,Stalled in Committee (House),1,House,Republican,TRUE,March,3,https://www.congress.gov/bill/118th-congress/house-bill/1718
H.R. 3369,2023,Push for AI Research; Job Security,House Calendar Inaction,0,House,Democrat,TRUE,May,3,https://www.congress.gov/bill/118th-congress/house-bill/3369
S. 1626,2023,Push for AI Research; Policy Advisory,Stalled in Committee (Senate),1,Senate,Republican,FALSE,May,1,https://www.congress.gov/bill/118th-congress/senate-bill/1626
S. 2691,2023,Policy Advisory; AI in Government,Stalled in Committee (Senate),1,Senate,Democrat,TRUE,July,4,https://www.congress.gov/bill/118th-congress/senate-bill/2691
S.2765,2023,Policy Advisory; Deepfake; General Ethical Usage,Stalled in Committee (Senate),1,Senate,Republican,FALSE,September,1,https://www.congress.gov/bill/118th-congress/senate-bill/2765
H.R.9403,2023,Push for AI Research,Expired Without Action,1,House,Democrat,TRUE,August,5,https://www.congress.gov/bill/118th-congress/house-bill/9403
H.R.8384,2023,Deepfake; General Ethical Usage; Policy Advisory,Stalled in Committee (House),1,House,Democrat,TRUE,May,4,https://www.congress.gov/bill/118th-congress/house-bill/8384
S.4394,2023,Push for AI Research; Job Security,Senate Calendar Inaction,0,Senate,Democrat,TRUE,May,3,https://www.congress.gov/bill/118th-congress/senate-bill/4394
H.R.4503,2023,AI in Government; Push for AI Research,Declined,0,House,Republican,TRUE,July,3,https://www.congress.gov/bill/118th-congress/house-bill/4503
H.Res. 66,2023,General Ethical Usage; Policy Advisory,Stalled in Committee (House),1,House,Democrat,FALSE,January,1,https://www.congress.gov/bill/118th-congress/house-resolution/66
S. 2293,2023,Policy Advisory; AI in Government,Senate Calendar Inaction,0,Senate,Democrat,TRUE,July,2,https://www.congress.gov/bill/118th-congress/senate-bill/2293
H.Res. 649,2023,AI in Government; Policy Advisory; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,August,1,https://www.congress.gov/bill/118th-congress/house-resolution/649
H.R. 9309,2023,Policy Advisory; Data Usage; General Ethical Usage,Stalled in Committee (House),1,House,Republican,TRUE,August,2,https://www.congress.gov/bill/118th-congress/house-bill/9309
S. 3205,2023,AI in Government; Policy Advisory; General Ethical Usage,Stalled in Committee (Senate),1,Senate,Republican,TRUE,November,2,https://www.congress.gov/bill/118th-congress/senate-bill/3205
S. 2714,2023,AI in Government; Policy Advisory; General Ethical Usage,Senate Calendar Inaction,0,Senate,Democrat,TRUE,July,4,https://www.congress.gov/bill/118th-congress/senate-bill/2714
H.R. 6881,2023,Data Usage; General Ethical Usage; LLM; Policy Advisory,House Calendar Inaction,0,House,Democrat,FALSE,December,5,https://www.congress.gov/bill/118th-congress/house-bill/6881
H.R. 8348,2023,AI in Government; Policy Advisory; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,May,2,https://www.congress.gov/bill/118th-congress/house-bill/8348
H.R. 8353,2023,AI in Government; Policy Advisory; Deepfake,Stalled in Committee (House),1,House,Democrat,TRUE,May,12,https://www.congress.gov/bill/118th-congress/house-bill/8353
H.R. 7381,2023,AI in Government; Push for AI Research,Stalled in Committee (House),1,House,Democrat,TRUE,February,3,https://www.congress.gov/bill/118th-congress/house-bill/7381
H.R.4814,2023,AI in Government; Push for AI Research,Passed House; Senate Committee Stall,1,House,Democrat,TRUE,July,5,https://www.congress.gov/bill/118th-congress/house-bill/4814
H.R.4683,2023,AI in Government; Push for AI Research,Stalled in Committee (House),1,House,Democrat,TRUE,July,10,https://www.congress.gov/bill/118th-congress/house-bill/4683
H.R. 206,2023,"General Ethical Usage, Policy Advisory",Stalled in Committee (House),1,House,Republican,FALSE,January,1,https://www.congress.gov/bill/118th-congress/house-bill/206
H.R. 6791,2023,"General Ethical Usage, Policy Advisory",Stalled in Committee (House),1,House,Democrat,TRUE,December,6,https://www.congress.gov/bill/118th-congress/house-bill/6791
H.R. 5808,2023,Deepfake; Policy Advisory,Stalled in Committee (House),1,House,Democrat,TRUE,September,11,https://www.congress.gov/bill/118th-congress/house-bill/5808
S. 3478,2023,General Ethical Usage; Data Usage; Policy Advisory,Stalled in Committee (House),1,Senate,Democrat,FALSE,December,8,https://www.congress.gov/bill/118th-congress/senate-bill/3478
S. 2597,2023,General Ethical Usage; Policy Advisory; Data Usage,Stalled in Committee (House),1,Senate,Democrat,TRUE,July,2,https://www.congress.gov/bill/118th-congress/senate-bill/2597
H.R. 7781,2024,Data Usage,Stalled in Committee (House),1,House,Republican,TRUE,March,5,https://www.congress.gov/bill/118th-congress/house-bill/7781
H.R. 6088,2024,Large Language Models; Data Usage; General Ethical Usage,Stalled in Committee (House),1,House,Republican,TRUE,October,2,https://www.congress.gov/bill/118th-congress/house-bill/6088
H.R. 6466,2024,Job Security; Push for AI Research; Deepfake,Stalled in Committee (House),1,House,Republican,TRUE,November,3,https://www.congress.gov/bill/118th-congress/house-bill/6466
H.R.7913,2024,Data Usage; Large Language Models; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,April,1,https://www.congress.gov/bill/118th-congress/house-bill/7913
S. 4664,2024,Push for AI Research; AI in Government; Data Usage,Stalled in Committee (Senate),1,Senate,Independent,TRUE,July,2,https://www.congress.gov/bill/118th-congress/senate-bill/4664
H.R. 9211,2024,General Ethical Usage; Policy Advisory; Job Security,Stalled in Committee (House),1,House,Republican,TRUE,July,14,https://www.congress.gov/bill/118th-congress/house-bill/9211
H.R. 9402,2024,Data Usage; General Ethical Usage,Expired Without Action,1,House,Republican,TRUE,August,13,https://www.congress.gov/bill/118th-congress/house-bill/9402
H.R. 10262,2024,General Ethical Usage; Policy Advisory; Data Usage,Stalled in Committee (House),1,House,Democrat,TRUE,November,3,https://www.congress.gov/bill/118th-congress/house-bill/10262
S. 4951,2024,Policy Advisory; Data Usage; General Ethical Usage,Stalled in Committee,1,Senate,Republican,TRUE,August,2,https://www.congress.gov/bill/118th-congress/senate-bill/4951
H.R. 9475,2024,Push for AI Research; Artificial General Intelligence,Stalled in Committee (House),1,House,Democrat,TRUE,September,6,https://www.congress.gov/bill/118th-congress/house-bill/9475
